Season,Team,Matches,Points,Wins,Draws,Losses,Goals_For,Goals_Against,Shots_For,Shots_Against,Shots_Target_For,Shots_Target_Against,Corners_For,Corners_Against,Fouls,Yellow_Cards,Red_Cards,Clean_Sheets,Goals_For_Per_Match,Goals_Against_Per_Match,Shots_For_Per_Match,Shots_Against_Per_Match,Shots_Target_For_Per_Match,Shots_Target_Against_Per_Match,Corners_For_Per_Match,Corners_Against_Per_Match,Fouls_Per_Match,Yellow_Cards_Per_Match,Red_Cards_Per_Match,Clean_Sheets_Per_Match,Goal_Difference,Goal_Difference_Per_Match,Shot_Conversion_Rate,Points_Per_Match,League_Rank,Goals_For_Per_Match_Norm,Shots_For_Per_Match_Norm,Shots_Target_For_Per_Match_Norm,Corners_For_Per_Match_Norm,Shot_Conversion_Rate_Norm,Clean_Sheets_Per_Match_Norm,Goals_Against_Per_Match_Norm,Shots_Against_Per_Match_Norm,Shots_Target_Against_Per_Match_Norm,Fouls_Per_Match_Norm,Yellow_Cards_Per_Match_Norm,Red_Cards_Per_Match_Norm,Attack_Index,Defence_Index,Discipline_Index,Composite_Index,Composite_Rank,Cluster
2020_21,Southampton,38,43,12,7,19,47,68,423,428,166,180,178,197,426,52,3,9,1.236842105263158,1.7894736842105263,11.131578947368421,11.263157894736842,4.368421052631579,4.7368421052631575,4.684210526315789,5.184210526315789,11.210526315789474,1.368421052631579,0.07894736842105263,0.23684210526315788,-21,-0.5526315789473685,0.1111111111111111,1.131578947368421,15,0.4285714285714286,0.34628975265017675,0.5583333333333332,0.2869565217391304,0.5433547339679728,0.2857142857142857,0.18181818181818177,0.5445859872611465,0.4520547945205481,0.41726618705035956,0.6363636363636362,0.5,0.4327011540524083,0.3660433123285405,0.5178766078046653,0.4230731081133126,14,1
2020_21,Tottenham,38,62,18,8,12,68,45,444,488,176,158,168,201,439,53,2,12,1.7894736842105263,1.1842105263157894,11.68421052631579,12.842105263157896,4.631578947368421,4.157894736842105,4.421052631578948,5.2894736842105265,11.552631578947368,1.394736842105263,0.05263157894736842,0.3157894736842105,23,0.6052631578947368,0.15315315315315314,1.631578947368421,7,0.7619047619047619,0.4204946996466431,0.6416666666666667,0.20000000000000012,1.0,0.49999999999999994,0.7045454545454546,0.3535031847133757,0.6027397260273972,0.3237410071942447,0.6060606060606062,0.6666666666666667,0.6048132256436143,0.5401970913215568,0.5321560933071726,0.564435345447503,8,1
2020_21,West Brom,38,26,5,11,22,35,76,340,599,112,246,145,267,404,51,4,6,0.9210526315789473,2.0,8.947368421052632,15.763157894736842,2.9473684210526314,6.473684210526316,3.8157894736842106,7.026315789473684,10.631578947368421,1.3421052631578947,0.10526315789473684,0.15789473684210525,-41,-1.0789473684210527,0.10294117647058823,0.6842105263157895,19,0.23809523809523808,0.053003533568904665,0.1083333333333333,0.0,0.4546158955058668,0.07142857142857142,0.0,0.0,0.0,0.5755395683453237,0.6666666666666667,0.33333333333333337,0.17080960010066856,0.017857142857142856,0.5251798561151079,0.18050266840614615,19,0
2020_21,West Ham,38,65,19,8,11,62,47,468,464,165,152,168,184,374,48,3,11,1.631578947368421,1.236842105263158,12.31578947368421,12.210526315789474,4.342105263157895,4.0,4.421052631578948,4.842105263157895,9.842105263157896,1.263157894736842,0.07894736842105263,0.2894736842105263,15,0.39473684210526316,0.13247863247863248,1.7105263157894737,6,0.6666666666666666,0.5053003533568905,0.5499999999999999,0.20000000000000012,0.7754409268688659,0.4285714285714286,0.659090909090909,0.429936305732484,0.6438356164383562,0.79136690647482,0.7575757575757576,0.5,0.5394815893784846,0.5403585649582945,0.6829808880168592,0.5685322393380835,7,1
2020_21,Wolves,38,45,12,9,17,36,52,462,442,154,157,209,186,425,53,0,10,0.9473684210526315,1.368421052631579,12.157894736842104,11.631578947368421,4.052631578947368,4.131578947368421,5.5,4.894736842105263,11.18421052631579,1.394736842105263,0.0,0.2631578947368421,-16,-0.42105263157894735,0.07792207792207792,1.1842105263157894,13,0.25396825396825395,0.4840989399293285,0.4583333333333332,0.5565217391304348,0.18286760837126126,0.3571428571428571,0.5454545454545454,0.5,0.6095890410958904,0.4244604316546763,0.6060606060606062,1.0,0.3871579749465224,0.5030466109233233,0.6768403459050942,0.4914499035289571,12,1
2021_22,Arsenal,38,69,22,3,13,61,48,588,425,197,147,209,176,363,60,4,13,1.605263157894737,1.263157894736842,15.473684210526315,11.18421052631579,5.184210526315789,3.8684210526315788,5.5,4.631578947368421,9.552631578947368,1.5789473684210527,0.10526315789473684,0.34210526315789475,13,0.34210526315789475,0.10374149659863946,1.8157894736842106,5,0.5,0.6011235955056179,0.5986394557823129,0.3164556962025316,0.5213308110166619,0.5294117647058824,0.6206896551724139,0.5228426395939085,0.5874125874125875,0.7114093959731544,0.6896551724137931,0.4,0.5075099117014249,0.565089161721198,0.6003548561289825,0.5491106005948457,5,1
2021_22,Aston Villa,38,45,13,6,19,52,54,454,477,162,157,196,222,401,77,2,11,1.368421052631579,1.4210526315789473,11.947368421052632,12.552631578947368,4.2631578947368425,4.131578947368421,5.157894736842105,5.842105263157895,10.552631578947368,2.026315789473684,0.05263157894736842,0.2894736842105263,-2,-0.05263157894736842,0.1145374449339207,1.1842105263157894,14,0.3815789473684211,0.2247191011235955,0.360544217687075,0.2341772151898734,0.6545624604642007,0.4117647058823529,0.517241379310345,0.3908629441624365,0.5174825174825174,0.4563758389261746,0.39655172413793127,0.8,0.37111638836663313,0.4593378867094129,0.550975854354702,0.4423768809013588,9,1
2021_22,Brentford,38,46,13,7,18,48,56,442,502,154,183,159,232,371,61,3,9,1.263157894736842,1.4736842105263157,11.631578947368421,13.210526315789474,4.052631578947368,4.815789473684211,4.184210526315789,6.105263157894737,9.763157894736842,1.605263157894737,0.07894736842105263,0.23684210526315788,-8,-0.21052631578947367,0.1085972850678733,1.2105263157894737,13,0.3289473684210526,0.19101123595505615,0.30612244897959184,0.0,0.5812555797384743,0.2941176470588235,0.48275862068965536,0.3274111675126903,0.3356643356643356,0.6577181208053691,0.6724137931034483,0.6,0.28146732661883495,0.35998794273137613,0.6433773046362724,0.38525756866733896,14,1
2021_22,Brighton,38,51,12,15,11,42,44,490,476,152,152,202,212,393,71,2,11,1.105263157894737,1.1578947368421053,12.894736842105264,12.526315789473685,4.0,4.0,5.315789473684211,5.578947368421052,10.342105263157896,1.868421052631579,0.05263157894736842,0.2894736842105263,-2,-0.05263157894736842,0.08571428571428572,1.3421052631578947,9,0.25000000000000006,0.3258426966292135,0.29251700680272114,0.2721518987341772,0.29885892003771086,0.4117647058823529,0.6896551724137931,0.3934010152284263,0.5524475524475524,0.5100671140939596,0.5,0.8,0.2878741044407646,0.5118171114930312,0.6033557046979865,0.44054762731311564,10,1
2021_22,Burnley,38,35,7,14,17,34,53,407,603,125,187,184,255,394,68,2,9,0.8947368421052632,1.394736842105263,10.710526315789474,15.868421052631579,3.289473684210526,4.921052631578948,4.842105263157895,6.7105263157894735,10.368421052631579,1.7894736842105263,0.05263157894736842,0.23684210526315788,-19,-0.5,0.08353808353808354,0.9210526315789473,18,0.14473684210526316,0.09269662921348315,0.10884353741496598,0.1582278481012658,0.2720026405833884,0.2941176470588235,0.5344827586206898,0.07106598984771573,0.3076923076923075,0.5033557046979866,0.5517241379310346,0.8,0.1553014994836733,0.30183967580488413,0.6183599475430072,0.3065284596240244,16,0
